Job Title,Company,Job Link
Back End Developer,PT Akseleran Keuangan Inklusif Indonesia,/id/job/80130783?type=standout&ref=search-standalone&origin=cardTitle#sol=67ffdde57efd62879a7cf141de13a19a80b5f26d
GOLANG DEVELOPER,AlphaPhilindo Solution Inc,/id/job/80177731?type=standout&ref=search-standalone&origin=cardTitle#sol=bfdac8636e190149c0c2fb194df123eb7d5b5133
Backend Engineer,Shipper,/id/job/80210088?type=standout&ref=search-standalone&origin=cardTitle#sol=5652ee498783f6f2daca52e7389fc486b73af48f
Backend Developer (Laravel & Node Js),PT. KODE KOLEKTIF INDONESIA,/id/job/80173319?type=standout&ref=search-standalone&origin=cardTitle#sol=2f499aa0e6e8d5b2777b78e62aaa6bf218310e31
Junior Backend Developer (Fresh Graduate),PT. Waktu Cipta Dimensi,/id/job/80208786?type=standout&ref=search-standalone&origin=cardTitle#sol=dc561a2575f337cc4bfba7db6613497bdbd70997
Back End Developer,PT Indoglobal Nusa Persada,/id/job/80105686?type=standout&ref=search-standalone&origin=cardTitle#sol=6329ddfb47c16d8a26c9930096a2591f669c249b
Purwadhika - Backend Engineer,PT Amartha Mikro Fintek (Jakarta),/id/job/80166682?type=standard&ref=search-standalone&origin=cardTitle#sol=3536d42ae7cb9d523cda0f96654681b4fe856cb7
Backend Java Developer,PT Sarana Pactindo,/id/job/80119021?type=standout&ref=search-standalone&origin=cardTitle#sol=8b4e7d1adab3005026a73bb02f91546c0b929cac
Full-Stack Developer,TRAVLR Indonesia,/id/job/80172915?type=standout&ref=search-standalone&origin=cardTitle#sol=939e6ed3217839887d1a92810c6019d48c703012
Senior Back End Developer,PT Sentral Link Solutions,/id/job/80134859?type=standard&ref=search-standalone&origin=cardTitle#sol=62231bcb535e1b6a265da6202094fea11f0009d1
Full Stack Developer,PT.Samudra Estetika perkasa,/id/job/80210134?type=standard&ref=search-standalone&origin=cardTitle#sol=67b7da49f67c59a68bbd21978a6dbfea63e888e6
Golang Developer,PT Adi Data Informatika,/id/job/80176318?type=standout&ref=search-standalone&origin=cardTitle#sol=f884b0bcc3eed5762a300a383db3ae5fc4ff1533
Software Engineer - Backend,PT Trinusa Travelindo,/id/job/79964440?type=standard&ref=search-standalone&origin=cardTitle#sol=b68506d1f9d985ce38f7c5f7f66efaacd1103d72
Senior Backend Developer,PT. Waktu Cipta Dimensi,/id/job/80025083?type=standout&ref=search-standalone&origin=cardTitle#sol=c5f98e78aeab7252da89ad5dc7a0c898e0464883
